회사이름,공고이름,url,경력,지역,직무,사이트
옵트에이아이,임베디드 ai 개발자 (c++),https://www.jobkorea.co.kr/Recruit/GI_Read/45966844?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=2,경력,서울,AI 개발자,jobkorea
옵트에이아이,비전 ai 어플리케이션 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45966928?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=3,경력,서울,AI 개발자,jobkorea
에이아이포블록체인(AI4Blo,(경력) 인공지능 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45994009?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5,경력1년↑,경기,AI 개발자,jobkorea
주식회사솔트룩스,인공지능(ai) 솔트룩스 - nlp research engineer 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/45862140?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=6,경력2년↑,서울,AI 개발자,jobkorea
아이스크림아트,ai연구소 ai기반 연구팀장,https://www.jobkorea.co.kr/Recruit/GI_Read/46036137?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=7,경력7년↑,서울,AI 개발자,jobkorea
주식회사솔트룩스,인공지능(ai) 솔트룩스 - nlp research engineer 신입,https://www.jobkorea.co.kr/Recruit/GI_Read/45846865?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=8,신입,서울,AI 개발자,jobkorea
웅진,[경력] ai개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46011182?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=9,경력3년↑,서울,AI 개발자,jobkorea
크래프톤,[ai] ai engineer - nlp/chatbot (3년 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45826591?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=10,경력,서울,AI 개발자,jobkorea
빅웨이브로보틱스,ai researcher,https://www.jobkorea.co.kr/Recruit/GI_Read/46057863?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=11,경력,서울,AI 개발자,jobkorea
미피아(MippiaInc.,음원 유사도 분석 ai 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45889185?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=12,신입,서울,AI 개발자,jobkorea
옵트에이아이,[병역특례]임베디드 ai 개발자 (c++),https://www.jobkorea.co.kr/Recruit/GI_Read/45965544?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=13,경력1년↑,서울,AI 개발자,jobkorea
포니링크,(주)포니링크 ai개발자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45953125?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=14,경력5년↑,서울,AI 개발자,jobkorea
여성기업종합지원센터,[주식회사 가이아비티] (멀티모달) ai 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/46078519?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=15,경력3년↑,서울,AI 개발자,jobkorea
옵트에이아이,[병역특례]비전 ai 어플리케이션 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45965497?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=17,경력1년↑,서울,AI 개발자,jobkorea
이오테크닉스,(주)이오테크닉스 ai개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45952853?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=19,경력,경기,AI 개발자,jobkorea
오투오,(주)에이아이오투오 ai 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46013600?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=21,경력무관,경기,AI 개발자,jobkorea
그로들,ai llm 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46035561?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=22,경력6년↑,서울,AI 개발자,jobkorea
헥토,"[헥토 ai랩] ai 테크팀 (software engineer, ml)",https://www.jobkorea.co.kr/Recruit/GI_Read/45864920?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=23,경력8년↑,서울,AI 개발자,jobkorea
네비웍스,ai 개발자(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45997908?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=24,경력1년↑,경기,AI 개발자,jobkorea
펨트론,[펨트론] 3d&ai팀 ct알고리즘 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45998579?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=25,신입·경력,서울,AI 개발자,jobkorea
휴라이트,ai/ml 인공지능 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45941699?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=26,경력3년↑,경기,AI 개발자,jobkorea
미니게이트,[경력 3년 이상] ml(ai) engineer 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45994118?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=28,경력3년↑,서울,AI 개발자,jobkorea
엑스큐어넷,생성형 ai 모델 연구 및 응용 개발(ai/ml),https://www.jobkorea.co.kr/Recruit/GI_Read/45895377?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=30,경력3년↑,서울,AI 개발자,jobkorea
아이스크림아트,ai연구소 ai기반 연구팀원 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46036173?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=31,경력5년↑,서울,AI 개발자,jobkorea
코아텍,"인공지능 실무업무 경력자(it개발, ai, 전기전자)",https://www.jobkorea.co.kr/Recruit/GI_Read/46032532?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=32,경력5년↑,경기,AI 개발자,jobkorea
아이스크림아트,(주)아이스크림아트 ai연구소 ai기반연구팀장/팀원(경력) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46078640?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=33,경력5년↑,서울,AI 개발자,jobkorea
트루엔,on-device ai 개발자 적극채용 (truen),https://www.jobkorea.co.kr/Recruit/GI_Read/45933525?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=36,경력7년↑,서울,AI 개발자,jobkorea
섬재,ai researcher,https://www.jobkorea.co.kr/Recruit/GI_Read/45927329?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=37,경력3년↑,서울,AI 개발자,jobkorea
