회사이름: 옵트에이아이, 공고이름: 임베디드 ai 개발자 (c++), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45966844?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=2, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 옵트에이아이, 공고이름: 비전 ai 어플리케이션 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45966928?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=3, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 에이아이포블록체인(AI4Blo, 공고이름: (경력) 인공지능 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45994009?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5, 경력: 경력1년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 주식회사솔트룩스, 공고이름: 인공지능(ai) 솔트룩스 - nlp research engineer 경력, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45862140?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=6, 경력: 경력2년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 아이스크림아트, 공고이름: ai연구소 ai기반 연구팀장, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46036137?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=7, 경력: 경력7년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 주식회사솔트룩스, 공고이름: 인공지능(ai) 솔트룩스 - nlp research engineer 신입, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45846865?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=8, 경력: 신입, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 웅진, 공고이름: [경력] ai개발자, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46011182?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=9, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 크래프톤, 공고이름: [ai] ai engineer - nlp/chatbot (3년 이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45826591?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=10, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 빅웨이브로보틱스, 공고이름: ai researcher, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46057863?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=11, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 미피아(MippiaInc., 공고이름: 음원 유사도 분석 ai 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45889185?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=12, 경력: 신입, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 옵트에이아이, 공고이름: [병역특례]임베디드 ai 개발자 (c++), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45965544?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=13, 경력: 경력1년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 포니링크, 공고이름: (주)포니링크 ai개발자 경력직 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45953125?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=14, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 여성기업종합지원센터, 공고이름: [주식회사 가이아비티] (멀티모달) ai 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46078519?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=15, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 옵트에이아이, 공고이름: [병역특례]비전 ai 어플리케이션 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45965497?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=17, 경력: 경력1년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
