회사이름: 기어세컨드, 공고이름: 데이터 분석가 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45909022?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=1, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 넥슨, 공고이름: [인텔리전스랩스] 데이터 분석가 (서비스 데이터 큐레이션) (계약직), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45980830?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=2, 경력: 신입, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 넥슨, 공고이름: [글로벌보안본부] 데이터 분석가 (게임 이상탐지), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46072467?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=3, 경력: 경력무관, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 넥슨, 공고이름: [인텔리전스랩스] 데이터 분석가 (소셜메이킹), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45976519?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=4, 경력: 경력무관, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 피엠그로우, 공고이름: [피엠그로우] 데이터 분석가 채용 (전기차 배터리), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46057584?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=5, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 퍼플아카데미, 공고이름: 데이터 분석가 (신입/경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46019453?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=6, 경력: 경력1년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 넥슨, 공고이름: [인텔리전스랩스] 데이터 분석가 (ai 챗봇 품질 강화) (계약직), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45811445?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=7, 경력: 경력무관, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 에임드, 공고이름: [ua팀] 모바일게임 데이터 분석가 (주니어), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45996178?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=8, 경력: 경력1년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 브릭, 공고이름: 데이터 분석가(경력 5년 이상) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45887574?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=9, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 한국정보통계, 공고이름: [통계팀] 데이터 분석가 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45900927?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=10, 경력: 경력무관, 지역: 전북, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 주식회사더스윙, 공고이름: 데이터 분석가(data analyst), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45953817?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=11, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 콜로세움코퍼레이션, 공고이름: [engineering] 데이터 분석가, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46019534?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=12, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 디베이스앤, 공고이름: [cj그룹] 데이터 분석가/사이언티스트 경력직, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46046900?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=13, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 스카이오토넷, 공고이름: (주)스카이오토넷 - 데이터 분석가 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46084949?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=14, 경력: 신입·경력1년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 한패스, 공고이름: [한패스(주)/데이터분석팀] 데이터분석가(data analyst) 담당자, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46043237?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=15, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 에이치투비즈, 공고이름: (주)에이치투비즈 데이터분석가(사업팀) 정규직 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46049258?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=16, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 에쓰오씨소프트, 공고이름: 데이터분석가, 인공지능 개발자 채용 공고, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45957799?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=17, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 부동산플래닛, 공고이름: [데이터분석가] data analyst 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45833843?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=18, 경력: 신입·경력, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 넛지헬스케어, 공고이름: [캐시워크] 데이터분석가 - 석사/박사, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45902361?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=19, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 번개장터, 공고이름: [번개장터] data analyst, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45777902?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=20, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 더치트주식회사, 공고이름: 데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / data analyst (통, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46042063?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=21, 경력: 경력무관, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 누리미디어, 공고이름: [서비스] 데이터 애널리스트 (경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45971675?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=22, 경력: 경력6년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 나누리아이티, 공고이름: 증권업무 분석설계자 구인합니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/45925281?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=24, 경력: 경력, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 조인아이티, 공고이름: si(생명차세대-기간계및채널 분석,설계)/여의도/25.1-2년/다수(중급,고급)/, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46022300?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=25, 경력: 경력6년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 트리노드, 공고이름: [부산/경력 3년 이상] qa팀 - ux researcher/ui/ux 분석가, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45826930?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=27, 경력: 경력3년↑, 지역: 부산, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 아이넷캅, 공고이름: [신입/경력] 안드로이드 앱(악성코드) 분석가 채용(내일채움공제가능), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45811211?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=32, 경력: 신입·경력, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 콘센트릭스서비스코리아, 공고이름: 데이터분석가 (사원급), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46088429?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=34, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 에이브랩스, 공고이름: 데이터 분석 (data scientist) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46057474?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=35, 경력: 신입·경력, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 장피셜, 공고이름: [뷰티에스테틱 업계1위, 파메스테틱]퍼포먼스 마케터,db분석가 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46022449?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=36, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 파고네트웍스, 공고이름: 2024년 하반기 - 파고네트웍스 채용 (네트워크 트래픽 분석가), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45993140?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=37, 경력: 신입·경력, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 넥슨, 공고이름: [인텔리전스랩스] ux researcher/ux 분석가 (게임 경험 분석), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45794189?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=38, 경력: 경력무관, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 이스트소프트, 공고이름: [estsoft] 그로스 분석가 (product growth analyst), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46042089?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=44, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 컬럼비아스포츠웨어코리아유한회사, 공고이름: 물류센터 분석가(distribution center analyst) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46032726?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=49, 경력: 경력6년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 카카오페이, 공고이름: [계약직] 데이터 엔지니어 - 분석 mart / bi 담당자, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46016291?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=51, 경력: 경력4년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 에스투더블유, 공고이름: cyber threat analyst, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45905189?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=66, 경력: 신입, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 에스투더블유, 공고이름: senior threat analyst, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45905303?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=69, 경력: 경력3년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 에스투더블유, 공고이름: malware analyst(멀웨어 분석가), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45920433?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=70, 경력: 경력, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 중소기업, 공고이름: [글로벌 게임 기업] 데이터 분석가, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45889109?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=73, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 중견기업, 공고이름: 중견교육그룹 데이터 분석가 경력직 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45909696?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=74, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 대기업, 공고이름: [일본계반도체장비사] data scientist (데이터 분석가) 채용건, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45749735?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=75, 경력: 경력2년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
