회사이름,공고이름,url,경력,지역,직무,사이트
잡코리아,[잡코리아] 데이터 엔지니어 (3년 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/46064233?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=1,경력3년↑,서울,데이터 엔지니어,jobkorea
현대엘리베이터,데이터 엔지니어 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46043051?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=3,경력,서울,데이터 엔지니어,jobkorea
이스트에이드,데이터 엔지니어 시니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45887357?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=4,경력4년↑,서울,데이터 엔지니어,jobkorea
넥슨,[기술본부] 데이터최적화팀 데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/46072492?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=5,경력3년↑,경기,데이터 엔지니어,jobkorea
모비젠,(주) 모비젠 데이터 엔지니어 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46059155?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=6,경력5년↑,경기,데이터 엔지니어,jobkorea
오픈베이스,데이터 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46062248?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=7,경력3년↑,서울,데이터 엔지니어,jobkorea
이노케어플러스,데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/46046957?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=8,경력3년↑,서울,데이터 엔지니어,jobkorea
미리디,[미리디] 데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45849657?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=9,경력2년↑,서울,데이터 엔지니어,jobkorea
메디웨일,데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45991050?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=10,경력5년↑,서울,데이터 엔지니어,jobkorea
코세틱,[cosetic] 데이터 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45790860?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=11,경력무관,서울,데이터 엔지니어,jobkorea
