회사이름: 잡코리아, 공고이름: [잡코리아] 데이터 엔지니어 (3년 이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46064233?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=1, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 현대엘리베이터, 공고이름: 데이터 엔지니어 경력 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46043051?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=3, 경력: 경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 이스트에이드, 공고이름: 데이터 엔지니어 시니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45887357?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=4, 경력: 경력4년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 넥슨, 공고이름: [기술본부] 데이터최적화팀 데이터 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46072492?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=5, 경력: 경력3년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 모비젠, 공고이름: (주) 모비젠 데이터 엔지니어 경력직 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46059155?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=6, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 오픈베이스, 공고이름: 데이터 엔지니어 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46062248?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=7, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 이노케어플러스, 공고이름: 데이터 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46046957?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=8, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 미리디, 공고이름: [미리디] 데이터 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45849657?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=9, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 메디웨일, 공고이름: 데이터 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45991050?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=10, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 코세틱, 공고이름: [cosetic] 데이터 엔지니어 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45790860?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=11, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 기어세컨드, 공고이름: 데이터 엔지니어(de) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46009474?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=12, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 카카오페이, 공고이름: 데이터 엔지니어 - 데이터플랫폼팀, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46016288?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=13, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 로이드케이, 공고이름: 빅데이터 솔루션 데이터 엔지니어(경력) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45944194?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=15, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 커넥트웨이브, 공고이름: [커넥트웨이브] 메이크샵 데이터 엔지니어 채용(경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45844834?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=17, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 코너스톤42, 공고이름: [cornerstone42] 데이터 엔지니어 모집(경력 1년이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46062071?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=18, 경력: 경력1년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 카카오페이, 공고이름: 데이터 엔지니어 - dw / bi 시스템 개발 시스템 개발, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46016284?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=19, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
