회사이름,공고이름,url,경력,지역,직무,사이트
앰버로드,데이터 사이언티스트 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45951347?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=1,경력2년↑,서울,데이터 사이언티스트,jobkorea
피엠그로우,[피엠그로우] 데이터 사이언티스트 채용 (전기차 배터리),https://www.jobkorea.co.kr/Recruit/GI_Read/46057417?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=2,경력5년↑,서울,데이터 사이언티스트,jobkorea
바로팜,데이터 사이언티스트 (전문연구요원),https://www.jobkorea.co.kr/Recruit/GI_Read/46085555?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=3,경력1년↑,서울,데이터 사이언티스트,jobkorea
꿈선생,[dealmakers] 데이터 사이언티스트 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46057597?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=4,경력무관,부산,데이터 사이언티스트,jobkorea
넥슨,[인텔리전스랩스] 게임밸류에이션팀 데이터 사이언티스트,https://www.jobkorea.co.kr/Recruit/GI_Read/45901462?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=5,경력3년↑,경기,데이터 사이언티스트,jobkorea
인실리코젠,데이터 사이언티스트 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45937517?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=6,신입·경력1년↑,경기,데이터 사이언티스트,jobkorea
뉴엔에이아이,[신입 / 경력] 소셜 빅데이터 분석 컨설턴트(데이터 사이언티스트) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46001387?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=7,신입·경력3년↑,경기,데이터 사이언티스트,jobkorea
고픽커뮤니케이션,[고픽커뮤니케이션] 스포츠 데이터 사이언티스트,https://www.jobkorea.co.kr/Recruit/GI_Read/46006943?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=8,경력5년↑,서울,데이터 사이언티스트,jobkorea
애드타입,[애드타입] 데이터 사이언티스트(3년차 이상) 동료를 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/46085575?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=9,경력3년↑,서울,데이터 사이언티스트,jobkorea
엠폴,(주)엠폴 ai데이터 사이언티스트 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45981761?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=10,경력5년↑,서울,데이터 사이언티스트,jobkorea
