회사이름: 앰버로드, 공고이름: 데이터 사이언티스트 정규직 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45951347?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=1, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 피엠그로우, 공고이름: [피엠그로우] 데이터 사이언티스트 채용 (전기차 배터리), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46057417?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=2, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 바로팜, 공고이름: 데이터 사이언티스트 (전문연구요원), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46085555?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=3, 경력: 경력1년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 꿈선생, 공고이름: [dealmakers] 데이터 사이언티스트 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46057597?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=4, 경력: 경력무관, 지역: 부산, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 넥슨, 공고이름: [인텔리전스랩스] 게임밸류에이션팀 데이터 사이언티스트, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45901462?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=5, 경력: 경력3년↑, 지역: 경기, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 인실리코젠, 공고이름: 데이터 사이언티스트 신입/경력 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45937517?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=6, 경력: 신입·경력1년↑, 지역: 경기, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 뉴엔에이아이, 공고이름: [신입 / 경력] 소셜 빅데이터 분석 컨설턴트(데이터 사이언티스트) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46001387?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=7, 경력: 신입·경력3년↑, 지역: 경기, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 고픽커뮤니케이션, 공고이름: [고픽커뮤니케이션] 스포츠 데이터 사이언티스트, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46006943?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=8, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 애드타입, 공고이름: [애드타입] 데이터 사이언티스트(3년차 이상) 동료를 모집합니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/46085575?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=9, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 엠폴, 공고이름: (주)엠폴 ai데이터 사이언티스트 모집합니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/45981761?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=10, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 트릿지, 공고이름: [tridge] data scientist (산업기능요원), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46030485?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=19, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 원프레딕트, 공고이름: ds(data scientist), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45906135?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=21, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 주식회사데이블, 공고이름: senior data scientist (3년 이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45955305?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=23, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: data scientist(image generation), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45975647?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=35, 경력: 경력, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: data scientist(css), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45975654?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=38, 경력: 신입, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: data scientist (platform), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45763360?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=41, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: data scientist (검색), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45763368?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=42, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: data scientist (ads), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45763361?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=43, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: data scientist (추천), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45763366?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=44, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: data scientist(product), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45763355?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=57, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 에스케이쉴더스, 공고이름: [사이버보안ai랩스]data scientist, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46001891?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&listno=59, 경력: 경력7년↑, 지역: 경기, 직무: 데이터 사이언티스트, 사이트: jobkorea
회사이름: 인사이터, 공고이름: (경력 2~5년) 데이터 사이언티스트를 모십니다., url: https://jumpit.saramin.co.kr/position/38922, 경력: 경력 2~5년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 주식회사애드타입, 공고이름: 데이터 사이언티스트 경력직 채용(9년~), url: https://jumpit.saramin.co.kr/position/39765, 경력: 경력 9~20년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 주식회사애드타입, 공고이름: 데이터 사이언티스트 경력직 채용(6~8년), url: https://jumpit.saramin.co.kr/position/39756, 경력: 경력 6~8년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 주식회사애드타입, 공고이름: 데이터 사이언티스트 경력직 채용(3~5년), url: https://jumpit.saramin.co.kr/position/39746, 경력: 경력 3~5년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 더블미디어, 공고이름: 데이터 사이언티스트 모집, url: https://jumpit.saramin.co.kr/position/39823, 경력: 경력 2~10년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 엑셈, 공고이름: 데이터 사이언티스트(5년 이상), url: https://jumpit.saramin.co.kr/position/39728, 경력: 경력 5~15년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 진스토리코리아, 공고이름: 데이터 사이언티스트, url: https://jumpit.saramin.co.kr/position/23549, 경력: 신입~3년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 브이피피랩, 공고이름: 데이터 사이언티스트, url: https://jumpit.saramin.co.kr/position/37633, 경력: 경력 5~15년, 지역: 제주, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 알티엠, 공고이름: 데이터 사이언티스트 (시계열), url: https://jumpit.saramin.co.kr/position/38037, 경력: 경력 3~10년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: jumpit
회사이름: 주식회사빅밸류, 공고이름: [빅밸류] data scientist(공통) 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49417709&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 한화시스템, 공고이름: data scientist 경력사원 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483518&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 엑셈, 공고이름: [코스닥상장사]데이터 사이언티스트(5년 이상), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49267752&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력 5~15년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
