company,title,url,exp,edu,typ,loc,job_name
㈜인라이플,[주4.5일근무] 데이터 분석 및 기획자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45711948?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=1,경력2년↑,학력무관,정규직,서울,데이터 분석
패스트파이브㈜,데이터 분석 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46017897?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=2,경력5년↑,대졸↑,정규직,서울,데이터 분석
주식회사 빗썸,[빗썸] 비즈니스 데이터 분석,https://www.jobkorea.co.kr/Recruit/GI_Read/45906918?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=3,경력7년↑,학력무관,정규직,서울,데이터 분석
㈜컬리,[컬리] 온사이트 프로모션 데이터 분석,https://www.jobkorea.co.kr/Recruit/GI_Read/46002356?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=4,경력,대졸↑,정규직,서울,데이터 분석
"㈜숲(SOOP CO., LTD.)",[soop] 데이터 분석 및 지표 설계,https://www.jobkorea.co.kr/Recruit/GI_Read/46006567?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=5,경력3년↑,학력무관,정규직,경기,데이터 분석
㈜테크랩스,마케팅 데이터 분석,https://www.jobkorea.co.kr/Recruit/GI_Read/45978816?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=6,경력2년↑,대졸↑,정규직,서울,데이터 분석
콘센트릭스서비스코리아(유),ga/aa 데이터 분석,https://www.jobkorea.co.kr/Recruit/GI_Read/46028449?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=7,경력1년↑,학력무관,정규직,서울,데이터 분석
㈜넥슨,[사업개발그룹] 데이터 분석 매니저,https://www.jobkorea.co.kr/Recruit/GI_Read/45711064?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=8,경력3년↑,학력무관,정규직,경기,데이터 분석
주식회사 빗썸,[빗썸] 고객 데이터 분석 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/45799996?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=9,경력3년↑,학력무관,정규직,서울,데이터 분석
트리플하이엠,[연구소] 온라인 마케팅 데이터 분석 및 설계 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45990899?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D&listno=10,경력2년↑,대졸↑,정규직,서울,데이터 분석
