company,title,url,loc,exp,job_name
부동산플래닛,[데이터분석가] data analyst,https://jumpit.saramin.co.kr/position/38267,서울,신입~20년,데이터 분석
주식회사 세계입찰,데이터분석가 신입 채용,https://jumpit.saramin.co.kr/position/38636,경기,신입,데이터 분석
주식회사 세계입찰,데이터분석가 경력 채용,https://jumpit.saramin.co.kr/position/38602,경기,경력 5~20년,데이터 분석
넛지헬스케어,[캐시워크] 데이터분석 담당 (석사/박사),https://jumpit.saramin.co.kr/position/37816,서울,신입~10년,데이터 분석
넛지헬스케어,[병역특례] 데이터분석 담당 산업기능요원 모집,https://jumpit.saramin.co.kr/position/37814,서울,신입~2년,데이터 분석
(주)데이터누리,데이터 분석가,https://jumpit.saramin.co.kr/position/38408,서울,경력 5~10년,데이터 분석
콜로세움코퍼레이션,데이터 분석가,https://jumpit.saramin.co.kr/position/38662,서울,경력 1~10년,데이터 분석
퍼플아카데미,데이터 분석가 신입/경력 채용,https://jumpit.saramin.co.kr/position/38390,서울,신입~3년,데이터 분석
호전실업,"데이터 분석, ai엔지니어 채용 (8~10년)",https://jumpit.saramin.co.kr/position/39187,서울,경력 8~10년,데이터 분석
호전실업,"데이터 분석, ai엔지니어 채용 (4~7년)",https://jumpit.saramin.co.kr/position/39186,서울,경력 4~7년,데이터 분석
빗썸코리아,데이터 분석 개발자 경력 채용,https://jumpit.saramin.co.kr/position/39305,서울,경력 4~12년,데이터 분석
아타드,[인공지능/데이터 분석] 개발자 채용,https://jumpit.saramin.co.kr/position/38308,서울,경력 1~3년,데이터 분석
이글루코퍼레이션,[연구개발본부] 데이터 분석 엔진 개발 경력 정규직 채용 (6년 ↑),https://jumpit.saramin.co.kr/position/36953,서울,경력 6~10년,데이터 분석
피아스페이스,영상 분석 시스템 엔지니어 채용,https://jumpit.saramin.co.kr/position/37983,서울,경력 3~20년,데이터 분석
슈프리마,[슈프리마ai] ai 영상분석 알고리즘 개발 리드 모집,https://jumpit.saramin.co.kr/position/37032,경기,경력 10~25년,데이터 분석
블루닷,코덱sw엔지니어 (화질분석/신입),https://jumpit.saramin.co.kr/position/37737,서울,신입~2년,데이터 분석
블루닷,코덱sw엔지니어 (화질분석/경력),https://jumpit.saramin.co.kr/position/37736,서울,경력 2~12년,데이터 분석
엔미디어플랫폼,데이터엔지니어 인재모집,https://jumpit.saramin.co.kr/position/38573,서울,경력 5~12년,데이터 엔지니어
워트인텔리전스,데이터 엔지니어 (8년 이상),https://jumpit.saramin.co.kr/position/37991,서울,경력 8~12년,데이터 엔지니어
로이드케이,빅데이터 솔루션 데이터 엔지니어(경력) 채용,https://jumpit.saramin.co.kr/position/38294,경기,경력 5~13년,데이터 엔지니어
알스퀘어,데이터 엔지니어,https://jumpit.saramin.co.kr/position/39493,서울,경력 5~15년,데이터 엔지니어
워트인텔리전스,데이터 엔지니어 (3년 이상),https://jumpit.saramin.co.kr/position/37990,서울,경력 3~5년,데이터 엔지니어
레진엔터테인먼트,데이터 엔지니어 (경력),https://jumpit.saramin.co.kr/position/38306,서울,경력 5~10년,데이터 엔지니어
에프엘이에스,데이터 엔지니어 경력직 채용,https://jumpit.saramin.co.kr/position/37788,서울,경력 2~6년,데이터 엔지니어
(주)이노케어플러스,데이터 엔지니어,https://jumpit.saramin.co.kr/position/35355,서울,경력 3~10년,데이터 엔지니어
사람인,[사람인] 데이터 엔지니어 (전환형인턴),https://jumpit.saramin.co.kr/position/39038,서울,신입~3년,데이터 엔지니어
백패커,[아이디어스] 데이터 엔지니어 (data engineer),https://jumpit.saramin.co.kr/position/38103,서울,경력 3~7년,데이터 엔지니어
폼즈,[생성ai] 프롬프트 엔지니어 (스테이블 디퓨전 데이터 가공 및 실험),https://jumpit.saramin.co.kr/position/38136,서울,신입~5년,데이터 엔지니어
업스테이지,senior data engineer - llm,https://jumpit.saramin.co.kr/position/39331,경기,경력 7~15년,데이터 엔지니어
딥인사이트,data engineer,https://jumpit.saramin.co.kr/position/37606,경기,신입,데이터 엔지니어
엑심베이,data engineer,https://jumpit.saramin.co.kr/position/39145,서울,신입~10년,데이터 엔지니어
빅웨이브로보틱스,data platform engineer,https://jumpit.saramin.co.kr/position/36941,서울,경력 3~7년,데이터 엔지니어
바로팜,데이터 엔지니어 경력 채용,https://jumpit.saramin.co.kr/position/38280,서울,경력 5~12년,데이터 엔지니어
엔티엘헬스케어,ai개발자 연구원 신입 채용,https://jumpit.saramin.co.kr/position/37322,경기,신입,AI 개발자
웅진,ai개발자 채용,https://jumpit.saramin.co.kr/position/37244,서울,경력 3~20년,AI 개발자
피피에스(주),ai개발자,https://jumpit.saramin.co.kr/position/39366,서울,경력 1년,AI 개발자
(주)에이아이세스,ai 개발자 (지식기반 ai 챗봇) 시니어급 채용,https://jumpit.saramin.co.kr/position/39432,경기,경력 5~10년,AI 개발자
(주)에이아이세스,ai 개발자 (지식기반 ai 챗봇) 주니어급 채용,https://jumpit.saramin.co.kr/position/39431,경기,신입~5년,AI 개발자
트루엔,ai 개발자,https://jumpit.saramin.co.kr/position/37435,서울,경력 3~12년,AI 개발자
엔티엘헬스케어,ai 개발자 연구원 경력 채용,https://jumpit.saramin.co.kr/position/37323,경기,경력 3~10년,AI 개발자
고스트패스,ai 개발자 구인,https://jumpit.saramin.co.kr/position/2437,서울,경력 3~10년,AI 개발자
(주)에이아이세스,ai 개발자 (딥러닝 음성인식 개발) 시니어급 채용,https://jumpit.saramin.co.kr/position/39430,경기,경력 5~10년,AI 개발자
(주)에이아이세스,ai 개발자 (딥러닝 음성인식 개발) 주니어급 채용,https://jumpit.saramin.co.kr/position/39429,경기,신입~5년,AI 개발자
(주)에이아이세스,ai 개발자 (지식기반 문서생성) 시니어급 채용,https://jumpit.saramin.co.kr/position/39428,경기,경력 5~10년,AI 개발자
(주)에이아이세스,ai 개발자 (지식기반 문서생성) 주니어급 채용,https://jumpit.saramin.co.kr/position/39427,경기,경력 2~5년,AI 개발자
(주)에이아이세스,ai 개발자 (딥러닝 기반 비젼 엔지니어) 주니어급 채용,https://jumpit.saramin.co.kr/position/39241,경기,경력 3~5년,AI 개발자
(주)에이아이세스,ai 개발자 (딥러닝 기반 비젼 엔지니어) 시니어급 채용,https://jumpit.saramin.co.kr/position/39243,경기,경력 5~10년,AI 개발자
미니레코드,ai 개발자 경력 채용,https://jumpit.saramin.co.kr/position/39113,서울,경력 1~15년,AI 개발자
미니레코드,ai 개발자 신입 채용,https://jumpit.saramin.co.kr/position/39101,서울,신입,AI 개발자
에브리치,ai 개발자 채용,https://jumpit.saramin.co.kr/position/37852,서울,경력 3~10년,AI 개발자
딥인사이트,ai 개발자,https://jumpit.saramin.co.kr/position/37595,경기,경력 2~7년,AI 개발자
네비웍스,ai 개발자(3년 이상),https://jumpit.saramin.co.kr/position/37227,경기,경력 3~10년,AI 개발자
옵트에이아이,임베디드 ai 개발자 (c++),https://jumpit.saramin.co.kr/position/38030,서울,신입~12년,AI 개발자
옵트에이아이,임베디드 ai 개발자 (c++) (병역특례),https://jumpit.saramin.co.kr/position/38031,서울,신입~12년,AI 개발자
토페스,기술연구소 ai 개발자 신규 채용,https://jumpit.saramin.co.kr/position/39423,경기,경력 3~6년,AI 개발자
에이알247,자율주행 로봇 ai 개발자,https://jumpit.saramin.co.kr/position/37319,경기,경력 2~10년,AI 개발자
이노룰스,[솔루션 제품 개발] llm / 생성형 ai 개발자,https://jumpit.saramin.co.kr/position/37745,서울,경력 3~10년,AI 개발자
이노룰스,[ai플랫폼팀] 웹 풀스택 개발자(pl 급) 채용,https://jumpit.saramin.co.kr/position/39311,서울,경력 10~15년,AI 개발자
씨메스,generative ai 및 인공지능 유지 관리 연구,https://jumpit.saramin.co.kr/position/38545,서울,신입~10년,AI 개발자
씨메스,ai platform 개발자,https://jumpit.saramin.co.kr/position/38638,서울,경력 2~10년,AI 개발자
씨메스,ai 로보틱스 어플리케이션 소프트웨어 개발자,https://jumpit.saramin.co.kr/position/38392,서울,신입~9년,AI 개발자
에이블테라퓨틱스,인공지능 기획 및 개발자 채용,https://jumpit.saramin.co.kr/position/38402,서울,경력 2~15년,AI 개발자
