회사이름: 메이크봇, 공고이름: ai챗봇 선두기업, java/php 웹개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46033261?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=1, 경력: 신입·경력, 지역: 서울, 직무: 챗봇 개발자, 사이트: jobkorea
회사이름: 새롬정보시스템, 공고이름: gen ai 기반 응용솔루션 웹개발(ai사업부문) 경력사원 채용공고, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46036704?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=8, 경력: 경력3년↑, 지역: 서울, 직무: 챗봇 개발자, 사이트: jobkorea
회사이름: 유니포유, 공고이름: 삼성전자 수원 챗봇 api struts or node.js 개발자 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46088497?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=10, 경력: 경력8년↑, 지역: 경기, 직무: 챗봇 개발자, 사이트: jobkorea
회사이름: 페르소나에이아이, 공고이름: ai음성 솔루션 java 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46060826?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=45, 경력: 경력5년↑, 지역: 서울, 직무: 챗봇 개발자, 사이트: jobkorea
회사이름: 인티그리트, 공고이름: [차세대 ai 로보틱스 플랫폼] 인티그리트와 함께 해주실 역량있는 개발자를 모십니다 [r&d 부분), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45959822?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=50, 경력: 경력, 지역: 서울, 직무: 챗봇 개발자, 사이트: jobkorea
회사이름: 스피링크, 공고이름: [textnet] llm 기반 풀스택 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46089755?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=51, 경력: 경력3년↑, 지역: 서울, 직무: 챗봇 개발자, 사이트: jobkorea
회사이름: 비즈톡, 공고이름: 카카오톡 상담톡 및 챗봇 서비스 개발자, url: https://jumpit.saramin.co.kr/position/37883, 경력: 경력 5~10년, 지역: 서울, 직무: 챗봇 개발자, 사이트: jumpit
회사이름: 인티그리트, 공고이름: [지능형 로보틱스 플랫폼] ai 플랫폼,디바이스s/w, 펌웨어 개발, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49556133&location=ts&searchword=%EC%B1%97%EB%B4%87+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=11c0b276-7511-409d-817c-b02e8d3a97a5, 경력: 경력무관, 지역: 서울, 직무: 챗봇 개발자, 사이트: saramin
회사이름: 유저커넥트, 공고이름: react 기반의 웹서비스 프론트엔드 개발자 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49557844&location=ts&searchword=%EC%B1%97%EB%B4%87+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=11c0b276-7511-409d-817c-b02e8d3a97a5, 경력: 경력무관, 지역: 경기, 직무: 챗봇 개발자, 사이트: saramin
회사이름: 메타엠, 공고이름: [메타엠]aicc r&d실/개발실/a솔루션실 개발자 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460113&location=ts&searchword=%EC%B1%97%EB%B4%87+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=11c0b276-7511-409d-817c-b02e8d3a97a5, 경력: 경력무관, 지역: 서울, 직무: 챗봇 개발자, 사이트: saramin
회사이름: 와이오엘, 공고이름: ai llm 연구원 - 인공지능 개발, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49385216&location=ts&searchword=%EC%B1%97%EB%B4%87+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=11c0b276-7511-409d-817c-b02e8d3a97a5, 경력: 경력무관, 지역: 서울, 직무: 챗봇 개발자, 사이트: saramin
회사이름: 아일리스프런티어, 공고이름: ai 서비스 - 자연어처리(nlp)/python 엔진 개발 (추가 채용), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394122&location=ts&searchword=%EC%B1%97%EB%B4%87+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=11c0b276-7511-409d-817c-b02e8d3a97a5, 경력: 경력 1~3년, 지역: 서울, 직무: 챗봇 개발자, 사이트: saramin
