role,title,company,location,url
기타,AI Lead (5년이상),비글즈,경기 성남시 · 경력 5-15년,https://www.wanted.co.kr/wd/253998
기타,Medical Imaging/AI Research -Fundus (전문연가능),뷰노,서울 서초구 · 신입-경력 3년,https://www.wanted.co.kr/wd/253886
기타,인공지능 음성 합성(TTS) 전문가,미니레코드,서울 송파구 · 신입-경력 5년,https://www.wanted.co.kr/wd/254037
기타,"2D/3D Detection, Vision Inspection Engineer",씨메스(CMES),서울 강남구 · 신입-경력 10년,https://www.wanted.co.kr/wd/253422
기타,영상 인식 알고리즘 개발 엔지니어,모본,서울 강남구 · 경력 3-8년,https://www.wanted.co.kr/wd/136818
기타,자율주행 인지 소프트웨어 엔지니어,에이스웍스코리아,서울 강남구 · 경력 5-15년,https://www.wanted.co.kr/wd/253685
기타,생성 AI R&D (이미지/영상 AI),드래프타입,서울 성동구 · 신입-경력 20년,https://www.wanted.co.kr/wd/207185
기타,FMS 설계 및 개발 소프트웨어 엔지니어,토르드라이브,서울 영등포구 · 경력 3-10년,https://www.wanted.co.kr/wd/253979
기타,AI Computer Vision (2년이상),비글즈,경기 성남시 · 경력 2-10년,https://www.wanted.co.kr/wd/254016
기타,영상 처리 연구/개발(전문연구요원가능),베스텔라랩,경기 안양시 · 경력 2년 이상,https://www.wanted.co.kr/wd/229465
기타,백엔드 소프트웨어 엔지니어,씽크프리(Thinkfree),경기 성남시 · 경력 3년 이상,https://www.wanted.co.kr/wd/253463
기타,AI Lead,스모어톡,서울 강남구 · 경력 3년 이상,https://www.wanted.co.kr/wd/253316
기타,자연어처리 엔지니어,쉬모스랩,서울 강남구 · 경력 3년 이상,https://www.wanted.co.kr/wd/251618
기타,알고리즘 개발자 (2년~10년),더블유닷에이아이,서울 서초구 · 경력 2-10년,https://www.wanted.co.kr/wd/252615
기타,AI Tech Lead,피트릭스,서울 강남구 · 경력 8-12년,https://www.wanted.co.kr/wd/249273
기타,LLM 엔지니어,테스트웍스,서울 송파구 · 경력 3-10년,https://www.wanted.co.kr/wd/252063
기타,자율주행 연구원(전문연구요원가능),베스텔라랩,경기 안양시 · 경력 2년 이상,https://www.wanted.co.kr/wd/229472
기타,3차원 머신비전 알고리즘 개발자,클레,서울 성동구 · 경력 2-10년,https://www.wanted.co.kr/wd/134568
기타,Robot Vision 개발자 (병역특례 가능),테스트웍스,서울 송파구 · 신입,https://www.wanted.co.kr/wd/245573
기타,PC 제어 개발 (5년이상),이엘피,경기 화성시 · 경력 5-10년,https://www.wanted.co.kr/wd/253066
기타,소프트웨어 엔지니어 (자율주행),마스오토,서울 서초구 · 경력 1-10년,https://www.wanted.co.kr/wd/198840
기타,NLP Enigneer (LLM),에이아이트릭스(AITRICS),서울 강남구 · 경력 2년 이상,https://www.wanted.co.kr/wd/244459
기타,[AI기술팀] STT AI,롯데이노베이트,서울 금천구 · 경력 3-12년,https://www.wanted.co.kr/wd/247075
기타,비전 알고리즘 개발,에이치비솔루션,충남 아산시 · 경력 1년 이상,https://www.wanted.co.kr/wd/252854
기타,AI 분야 소프트웨어 (4년이상),글로벌시스템스,대전 유성구 · 경력 4년 이상,https://www.wanted.co.kr/wd/250004
기타,컴퓨터비전 분야 연구/개발자.,어반데이터랩,서울 종로구 · 경력 3년 이상,https://www.wanted.co.kr/wd/238723
기타,Product Engineer,글라우드,서울 송파구 · 신입-경력 10년,https://www.wanted.co.kr/wd/244455
기타,"Perception Engineer (Embedded, Senior)",웨어러블에이아이,서울 영등포구 · 경력 5-10년,https://www.wanted.co.kr/wd/239421
기타,"AI 인프라, AI Ops 환경 구성",디에스앤지,서울 영등포구 · 경력 6-20년,https://www.wanted.co.kr/wd/252993
기타,음성 AI Team Leader,덴컴,서울 강남구 · 경력 8년 이상,https://www.wanted.co.kr/wd/223608
기타,NPU HW Engineer(전문연구요원),칩스앤미디어,서울 강남구 · 신입-경력 4년,https://www.wanted.co.kr/wd/252537
기타,AI Model Production (LLM),업스테이지,경기 · 경력 2-15년,https://www.wanted.co.kr/wd/237208
기타,rPPG 원격광용적맥파 연구개발 (석박사급),바이오커넥트,서울 서초구 · 경력 1-10년,https://www.wanted.co.kr/wd/229687
기타,"인공지능, 알고리즘 엔지니어",럭스로보(LUXROBO),서울 강남구 · 경력 2년 이상,https://www.wanted.co.kr/wd/233519
기타,AI Model Production (Document AI),업스테이지,경기 · 경력 2-15년,https://www.wanted.co.kr/wd/134824
기타,코덱SW엔지니어 (알고리즘개발/신입),블루닷,서울 강남구 · 신입,https://www.wanted.co.kr/wd/174088
기타,Senior Technical Program Manager · AI Platform,루닛(Lunit),서울 강남구 · 경력 6-13년,https://www.wanted.co.kr/wd/249520
기타,코덱SW엔지니어 (알고리즘개발),블루닷,서울 강남구 · 경력 2-12년,https://www.wanted.co.kr/wd/168788
기타,CTO,스카이블루,경기 안산시 · 경력 10년 이상,https://www.wanted.co.kr/wd/247641
기타,[Mantra株式会社]機械学習エンジニア・リサーチャー／エンタメ×AIの最先端の研究開発をリード_근무지 일본,원티드 재팬(wanted),서울 · 경력 5-15년,https://www.wanted.co.kr/wd/247448
기타,Backend 개발자,글로비즈,서울 관악구 · 경력 2년 이상,https://www.wanted.co.kr/wd/248149
기타,Control System Engineer,포티투닷(42dot),경기 성남시 · 경력 3-15년,https://www.wanted.co.kr/wd/185686
기타,Data Annotator,섬재,서울 강남구 · 경력 1-6년,https://www.wanted.co.kr/wd/252364
기타,프롬프트 엔지니어,베스텔라랩,경기 안양시 · 경력 5년 이상,https://www.wanted.co.kr/wd/244674
기타,LLM Engineer (개인화 및 서비스),포티투닷(42dot),경기 성남시 · 경력 6년 이상,https://www.wanted.co.kr/wd/231550
기타,자율주행 로봇 개발자,베스텔라랩,경기 안양시 · 경력 2년 이상,https://www.wanted.co.kr/wd/244675
기타,[전문연구요원 가능] 인공지능 연구원,메디인테크,서울 종로구 · 경력 1-10년,https://www.wanted.co.kr/wd/100405
기타,AI Model Development Strategy Manager,업스테이지,경기 · 경력 3-15년,https://www.wanted.co.kr/wd/237214
기타,Sensor Fusion Engineer (자율주행),포티투닷(42dot),경기 성남시 · 경력 5-20년,https://www.wanted.co.kr/wd/150909
기타,아하팀 검색 엔지니어,아하앤컴퍼니,서울 강남구 · 경력 7-10년,https://www.wanted.co.kr/wd/236507
기타,병역특례 전문연구요원 (석사 이상),커먼컴퓨터,서울 동작구 · 신입,https://www.wanted.co.kr/wd/240343
기타,[전문연구요원 가능] 인공지능 연구원 (신입),메디인테크,서울 종로구 · 신입,https://www.wanted.co.kr/wd/147486
기타,소프트웨어 엔지니어 Desktop App,도르코퍼레이션,서울 강남구 · 경력 2-10년,https://www.wanted.co.kr/wd/204942
기타,인공지능 R&D 전문가,바이트사이즈,부산 부산진구 · 경력 5년 이상,https://www.wanted.co.kr/wd/255037
기타,프롬프트 엔지니어(Prompt engineer),인딥에이아이,서울 강남구 · 경력 2-4년,https://www.wanted.co.kr/wd/254799
기타,검사장비 영상처리 비전 SW 엔지니어,머신앤비전,충남 천안시 · 경력 2-15년,https://www.wanted.co.kr/wd/200553
기타,인공지능 전문가,에이치엠이스퀘어,경기 용인시 · 신입-경력 20년,https://www.wanted.co.kr/wd/221103
기타,컴퓨터비전 연구개발자,다비오(Dabeeo),서울 마포구 · 경력 3-15년,https://www.wanted.co.kr/wd/169105
기타,테크 멘토,포항공과대학교,경북 포항시 · 경력 3-10년,https://www.wanted.co.kr/wd/186510
기타,리드 NLP 개발자,베링랩,서울 마포구 · 경력 3-10년,https://www.wanted.co.kr/wd/157380
기타,머신 비전 SW개발자 (3년 이상),커넥티드 인사이트,충남 천안시 · 경력 3-5년,https://www.wanted.co.kr/wd/205982
기타,신호처리/알고리즘 PART,아이시냅스,서울 성동구 · 경력 1-5년,https://www.wanted.co.kr/wd/115205
기타,Operation / Digital Consultant,코너스톤파트너스디지털,서울 강남구 · 신입-경력 5년,https://www.wanted.co.kr/wd/178246
기타,LLM Researcher,애자일소다,서울 강남구 · 신입 이상,https://www.wanted.co.kr/wd/253458
기타,LLM Engineer,빅밸류,서울 중구 · 신입-경력 5년,https://www.wanted.co.kr/wd/241120
기타,DL엔지니어,카카오뱅크(kakaobank),경기 성남시 · 경력 2년 이상,https://www.wanted.co.kr/wd/233725
기타,비즈니스 애널리스트,월급쟁이부자들,서울 서초구 · 경력 2-7년,https://www.wanted.co.kr/wd/253624
기타,Senior Backend Development,포지큐브(POSICUBE),서울 강남구 · 경력 5-15년,https://www.wanted.co.kr/wd/245694
기타,AI Developer,온택트헬스,서울 서대문구 · 경력 3년 이상,https://www.wanted.co.kr/wd/252310
기타,UI 설계 및 Front-End Engineer,앰버로드,서울 강남구 · 경력 3-5년,https://www.wanted.co.kr/wd/202630
기타,웹PM (Web Product Manager),와이즐리컴퍼니,서울 서초구 · 경력 1년 이상,https://www.wanted.co.kr/wd/254043
기타,아키텍처 PM (15년차 이상),미리비트,경기 성남시 · 경력 15년 이상,https://www.wanted.co.kr/wd/251688
기타,Head of Data (Data AI Team),뱅크샐러드,서울 마포구 · 경력 5-10년,https://www.wanted.co.kr/wd/225177
기타,서버개발(전문통신개발),테크핀레이팅스,서울 중구 · 경력 7년 이상,https://www.wanted.co.kr/wd/247969
기타,BI 개발자,인포유앤컴퍼니,서울 성동구 · 경력 2-10년,https://www.wanted.co.kr/wd/190419
기타,[Slot] Server,앤서스랩코리아,서울 강남구 · 경력 3-5년,https://www.wanted.co.kr/wd/245174
기타,검색기술 리더,지마켓,서울 강남구 · 경력 10년 이상,https://www.wanted.co.kr/wd/251070
기타,GIS 풀스택 개발자(3년 이상),윌로그,서울 강남구 · 경력 3-11년,https://www.wanted.co.kr/wd/243503
기타,Data Pipeline Team Leader,이마고웍스,서울 강남구 · 경력 2-10년,https://www.wanted.co.kr/wd/197658
기타,Golang Agent 개발자,엑셈,서울 강서구 · 신입-경력 3년,https://www.wanted.co.kr/wd/228443
기타,SQL 개발자,인포유앤컴퍼니,서울 성동구 · 경력 3-10년,https://www.wanted.co.kr/wd/190413
기타,User Behavior Team Leader,여기어때컴퍼니,서울 강남구 · 경력 7-15년,https://www.wanted.co.kr/wd/229740
기타,[빗썸] DevOps 엔지니어,빗썸,서울 강남구 · 경력 7-10년,https://www.wanted.co.kr/wd/236790
기타,IP Data Intelligence (3년 이상),워트인텔리전스,서울 서초구 · 경력 3-8년,https://www.wanted.co.kr/wd/252242
기타,IoT Specialist,비스텔리젼스,서울 서초구 · 경력 5년 이상,https://www.wanted.co.kr/wd/251216
기타,Data Service Developer (IR Back End),오케스트로,대전 서구 · 경력 2-5년,https://www.wanted.co.kr/wd/247640
기타,컨테이너 플랫폼 구축/운영 전문가 영입,에스케이씨앤씨(SK C&C),경기 성남시 · 경력 5-15년,https://www.wanted.co.kr/wd/253884
기타,실험 보조연구업무 및 실험 소프트웨어 개발담당,파인더스,경기 하남시 · 신입,https://www.wanted.co.kr/wd/225003
기타,AI Lead,쏘카(SOCAR),서울 성동구 · 경력 5-15년,https://www.wanted.co.kr/wd/234304
기타,3D Geometry SW 엔지니어,디오에프연구소,서울 성동구 · 경력 1-15년,https://www.wanted.co.kr/wd/208068
기타,검색엔진 엔지니어 (3년 이상),워트인텔리전스,서울 서초구 · 경력 3-12년,https://www.wanted.co.kr/wd/252008
기타,K8S 구축 운영 개발자 (3~10년차),미리비트,경기 성남시 · 경력 3-10년,https://www.wanted.co.kr/wd/251691
기타,검사장비 제어 SW 엔지니어,머신앤비전,충남 천안시 · 경력 2-15년,https://www.wanted.co.kr/wd/106787
기타,인덱스 개발 및 유지보수 관리,에프앤가이드,서울 강서구 · 신입,https://www.wanted.co.kr/wd/239694
기타,"BackEnd 개발자(Python, Django)",블리몽키즈,서울 마포구 · 경력 2-11년,https://www.wanted.co.kr/wd/251340
기타,Backend 개발자,티비유,서울 서초구 · 경력 1년 이상,https://www.wanted.co.kr/wd/239334
기타,백엔드 엔지니어,미르니,서울 관악구 · 신입-경력 4년,https://www.wanted.co.kr/wd/248695
기타,[네트워크기술팀] C# 개발자,슈어소프트테크,경기 성남시 · 경력 3년 이상,https://www.wanted.co.kr/wd/245040
기타,광학 엔지니어,아폴론,서울 강서구 · 경력 2-10년,https://www.wanted.co.kr/wd/220368
기타,SCM 개발/운영 및 솔루션 전문가 영입,에스케이씨앤씨(SK C&C),경기 성남시 · 경력 3-15년,https://www.wanted.co.kr/wd/252690
기타,시스템 개발 PL - 부정 수급 관리,골든플래닛,서울 강남구 · 경력 7-12년,https://www.wanted.co.kr/wd/244242
기타,통합로그관리 SW 기술지원 엔지니어,브레인즈컴퍼니,서울 성동구 · 경력 5-10년,https://www.wanted.co.kr/wd/253007
