role,title,company,location,url
AI 서비스 개발자,Sr. Machine Learning Engineer (HPCNT AI),하이퍼커넥트,서울 강남구 · 경력 3-13년,https://www.wanted.co.kr/wd/254260
AI 서비스 개발자,AI Research Engineer (2년 이상),폴스타헬스케어,서울 서초구 · 경력 2년 이상,https://www.wanted.co.kr/wd/254283
AI 서비스 개발자,멀티모달 AI 엔지니어,로민,서울 서초구 · 경력 2-10년,https://www.wanted.co.kr/wd/254250
AI 서비스 개발자,AI 엔지니어,카이헬스,서울 강남구 · 경력 3년 이상,https://www.wanted.co.kr/wd/254173
기타,AI Lead (5년이상),비글즈,경기 성남시 · 경력 5-15년,https://www.wanted.co.kr/wd/253998
AI 서비스 개발자,AI engineer,큐빅,서울 서초구 · 경력 1-6년,https://www.wanted.co.kr/wd/253912
AI 서비스 개발자,2D/3D Vision Foundation Model Engineer,씨메스(CMES),서울 강남구 · 경력 3-10년,https://www.wanted.co.kr/wd/253423
AI 서비스 개발자,Medical Imaging/AI Research -Fundus (전문연가능),뷰노,서울 서초구 · 신입-경력 3년,https://www.wanted.co.kr/wd/253886
기타,인공지능 음성 합성(TTS) 전문가,미니레코드,서울 송파구 · 신입-경력 5년,https://www.wanted.co.kr/wd/254037
머신러닝 엔지니어,음성 인식(STT) 머신러닝 엔지니어 (3년 이상),이스트소프트(ESTsoft),서울 서초구 · 경력 3년 이상,https://www.wanted.co.kr/wd/253968
AI 서비스 개발자,Document AI Researcher,애자일소다,서울 강남구 · 신입 이상,https://www.wanted.co.kr/wd/253469
AI 서비스 개발자,"2D/3D Detection, Vision Inspection Engineer",씨메스(CMES),서울 강남구 · 신입-경력 10년,https://www.wanted.co.kr/wd/253422
머신러닝 엔지니어,MLOps Engineer,여기어때컴퍼니,서울 강남구 · 경력 5-10년,https://www.wanted.co.kr/wd/253684
기타,영상 인식 알고리즘 개발 엔지니어,모본,서울 강남구 · 경력 3-8년,https://www.wanted.co.kr/wd/136818
AI 서비스 개발자,(전문연구요원 가능) ML Engineer/Researcher,에너자이(ENERZAi),서울 강남구 · 신입,https://www.wanted.co.kr/wd/110126
AI 서비스 개발자,Medical Imaging AI Research Engineer,휴톰,서울 마포구 · 경력 3-10년,https://www.wanted.co.kr/wd/253557
AI 서비스 개발자,AI 개발자,미니레코드,서울 송파구 · 경력 2-6년,https://www.wanted.co.kr/wd/254035
AI 서비스 개발자,AI/ML 엔지니어(2년~5년),데이터노우즈,서울 강남구 · 경력 2-5년,https://www.wanted.co.kr/wd/253322
기타,자율주행 인지 소프트웨어 엔지니어,에이스웍스코리아,서울 강남구 · 경력 5-15년,https://www.wanted.co.kr/wd/253685
AI 서비스 개발자,생성 AI R&D (이미지/영상 AI),드래프타입,서울 성동구 · 신입-경력 20년,https://www.wanted.co.kr/wd/207185
머신러닝 엔지니어,ML Engineer,쏘카(SOCAR),서울 성동구 · 경력 4-8년,https://www.wanted.co.kr/wd/253314
AI 서비스 개발자,NLP Researcher / Engineer,올거나이즈코리아(Allganize Korea),서울 강남구 · 경력 1-10년,https://www.wanted.co.kr/wd/93676
머신러닝 엔지니어,MLOps Engineer (인프라),섬재,서울 강남구 · 경력 1-6년,https://www.wanted.co.kr/wd/252927
AI 서비스 개발자,커머스 플랫폼 AI 개발자,플렉스매치,서울 구로구 · 경력 3년 이상,https://www.wanted.co.kr/wd/245907
AI 서비스 개발자,딥러닝 개발자,뷰런테크놀로지,서울 서초구 · 경력 1년 이상,https://www.wanted.co.kr/wd/253325
AI 서비스 개발자,AI 최적화 Researcher,에너자이(ENERZAi),서울 강남구 · 신입,https://www.wanted.co.kr/wd/219652
기타,FMS 설계 및 개발 소프트웨어 엔지니어,토르드라이브,서울 영등포구 · 경력 3-10년,https://www.wanted.co.kr/wd/253979
머신러닝 엔지니어,머신러닝엔지니어 (3년 이상),엠트리센,서울 금천구 · 경력 3년 이상,https://www.wanted.co.kr/wd/253132
AI 서비스 개발자,AI Computer Vision (2년이상),비글즈,경기 성남시 · 경력 2-10년,https://www.wanted.co.kr/wd/254016
AI 서비스 개발자,인공지능/컴퓨터 비전 연구개발,마크애니,서울 중구 · 경력 3년 이상,https://www.wanted.co.kr/wd/252985
머신러닝 엔지니어,Senior ML Engineer,바이온사이트,서울 성동구 · 경력 10년 이상,https://www.wanted.co.kr/wd/246633
AI 서비스 개발자,"AI 엔지니어 (LLM, NLP)",다큐브(daquv),서울 영등포구 · 경력 5-15년,https://www.wanted.co.kr/wd/253071
기타,영상 처리 연구/개발(전문연구요원가능),베스텔라랩,경기 안양시 · 경력 2년 이상,https://www.wanted.co.kr/wd/229465
머신러닝 엔지니어,ML Engineer,에이젠글로벌,서울 영등포구 · 경력 5년 이상,https://www.wanted.co.kr/wd/252493
AI 서비스 개발자,Sr. Machine Learning Researcher (Vision),메디픽셀,서울 강남구 · 경력 5-16년,https://www.wanted.co.kr/wd/208568
AI 서비스 개발자,AI Researcher,인핸스(Enhans),서울 서초구 · 경력 3-8년,https://www.wanted.co.kr/wd/245684
머신러닝 엔지니어,MLOps 엔지니어 (주니어),라이언로켓,서울 중구 · 경력 1-3년,https://www.wanted.co.kr/wd/246800
기타,백엔드 소프트웨어 엔지니어,씽크프리(Thinkfree),경기 성남시 · 경력 3년 이상,https://www.wanted.co.kr/wd/253463
기타,AI Lead,스모어톡,서울 강남구 · 경력 3년 이상,https://www.wanted.co.kr/wd/253316
AI 서비스 개발자,Software Engineer (전문연 가능),렛서,서울 강남구 · 경력 3년 이상,https://www.wanted.co.kr/wd/232917
AI 서비스 개발자,[AX] AI/ML 엔지니어,콕스웨이브,서울 영등포구 · 경력 3-7년,https://www.wanted.co.kr/wd/234298
데이터 분석가,AI 엔지니어(데이터),한국딥러닝,서울 서초구 · 경력 3-15년,https://www.wanted.co.kr/wd/252262
AI 서비스 개발자,AI Researcher,섬재,서울 강남구 · 경력 3-6년,https://www.wanted.co.kr/wd/252928
